"Supplemental Table 2:  Cell lines, growth conditions and other info."													
													
Tumor type	ATCC 	Cell line	Tissue	Morphology	Disease	Subtype	Sex	Patient Age when tumor excised	Derived from	Growth media	Where obtained	Authentication method	Date of authentication
Breast	HTB-19	BT-20	Breast	Epithelial	adenocarcinoma	Basal A	Female	74	tumor	RPMI+10% FBS	In house	ND	
Breast	HTB-20	BT-474	Breast	Epithelial	invasive ductal carcinoma	HER2	Female	60	tumor	DMEM+10%FBS	ATCC	STR	<6 months
Breast	HTB-122	BT-549	Breast	Epithelial	invasive ductal carcinoma	Basal B	Female	72	tumor	RPMI+10% FBS	In house	ND	
Breast	ACC 302 (DSMZ)	Cal51	Breast	Epithelial	adenocarcinoma	Basal B	Female	45	pleural effusion	DMEM+10%FBS	In house	ND	
Breast	HTB-21	CAMA-1	Breast	Epithelial	adenocarcinoma	Luminal	Female	51	pleural effusion	DMEM+10%FBS	In house	ND	
Breast	ACC 231 (DSMZ)	EFM-19	Breast	Epithelial	invasive ductal carcinoma	Luminal	Female	50	pleural effusion	RPMI+10% FBS	In house	ND	
Breast	CRL-2321	HCC1143	Breast	Epithelial	ductal carcinoma	Basal A	Female	52	tumor	RPMI+10% FBS	ATCC	STR	<6 months
Breast	CRL-2322	HCC1187	Breast	Epithelial	ductal carcinoma	Basal A	Female	41		RPMI+10% FBS	ATCC	STR	<6 months
Breast	CRL-2324	HCC1395	Breast	Epithelial	ductal carcinoma	Basal B	Female	43		RPMI+10% FBS	ATCC	STR	<6 months
Breast	CRL-2326	HCC1419	Breast	Epithelial	ductal carcinoma	Her2	Female	42		RPMI+10% FBS	ATCC	STR	<6 months
Breast	CRL-2327	HCC1428	Breast	Epithelial	adenocarcinoma	Luminal	Female	49	metastasis	RPMI+10% FBS	ATCC	STR	<6 months
Breast	CRL-2329	HCC1500	Breast	Epithelial	ductal carcinoma	Luminal	Female	32		RPMI+10% FBS	ATCC	STR	<6 months
Breast	CRL-2335	HCC1806	Breast	Epithelial	squamous carcinoma	Basal A	Female	60		RPMI+10% FBS	In house	ND	
Breast	CRL-2336	HCC1937	Breast	Epithelial	ductal carcinoma	Basal A	Female	24	tumor	RPMI+10% FBS	In house	ND	
Breast	CRL-2338	HCC1954	Breast	Epithelial	ductal carcinoma	HER2/Basal	Female	61	tumor	RPMI+10% FBS	ATCC	STR	<6 months
Breast	CRL-2314	HCC38	Breast	Epithelial	ductal carcinoma	Basal B	Female	50		RPMI+10% FBS	ATCC	STR	<6 months
