ID	Gene symbol
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	
16	
17	
18	
19	
20	MED25
21	ARF5
22	C12orf53
23	
24	TTC13
25	ZBTB5
26	GABRA6
27	CDCA2
28	HSH2D
29	TUBGCP2
30	IL1RAP
31	EDEM3
32	RASD1
33	
34	L1TD1
35	RAP2B
36	TMED5
37	MT1B
38	
39	TBCEL
40	MGC23270
41	ADAMTS15
42	ASGR1
43	FOXD3
44	MTCP1
45	
46	NKTR
47	APOA4
48	
49	PPIAL4G|PPIAL4C|PPIAL4E|PPIAL4B|PPIAL4D|PPIAL4F|PPIAL4A
50	LOC100287776|PELO
51	
52	GTPBP5
53	RFPL4A
54	
55	
56	SMC4
57	CUL4A
58	CUL4B
59	EPN2
60	SCARB1
61	C16orf65
62	TCF15
63	PYGM
64	MRPL30
65	TBXAS1
66	
67	DYRK1A
68	COG3
69	
70	ALPI
71	ZMYND8
72	ARL5A
73	DNAH12
74	YRDC
75	HFE
76	LGMN
77	WFDC8
78	AARS2
79	COL1A2
80	MED4
81	SERHL2|RRP7B
82	STAC2
83	ZNF488
84	NDUFA4L2
85	IL9
86	ANKFY1
87	PLA2G3
88	TMEM50B
89	FAM122A
90	C1GALT1C1
91	ZNF670
92	OXR1
93	RPL35A
94	
95	AP1G2
96	HIPK2
97	SMTN
98	ZBED5
99	RAP2C
100	LRRC14
101	SEPX1
102	ATAD2B
103	KISS1
104	FZD5
105	TXNL4B
106	PSMD9
107	DRG1
108	
109	TK2
110	GPR124
111	SERPINA10
112	TCF7L2
113	PCDHAC1
114	CTU1
115	
116	RGN
117	LOC643406|RP5-1022P6.6
118	SMPDL3A
119	ANAPC4
120	
121	
122	EXPH5
123	CEACAM7
124	HOXB7
125	HNRNPF
126	CSTF3
127	
128	CRADD|LOC100287069
129	CCDC114
130	CCNK
131	
132	MAGI3
133	
134	GOLIM4
135	C19orf62
136	CTU2
137	A2M
138	
139	RLIM
140	C1orf212
141	MYBL2
142	NPC1L1
143	TSPAN32
144	SLC7A3
145	ADH5
146	PDHA1
147	
148	SLC6A8
149	SCNN1A
150	PFAS
151	ZMYM2
152	AIFM2
153	AKAP12
154	SNRNP27
155	OLFM1
156	NDUFA12
157	CCL22
158	ASAP2
159	SEC22C
160	SLC5A6
161	GPR133
162	C11orf51
163	
164	BTNL3
165	AP1S2
166	ZNF624
167	NUDCD1
168	POLD1
169	ASB9
170	ELMO2
171	RPL39
172	GRM3
173	
174	
175	TNFSF13B
176	KIAA1539
177	MCPH1
178	NFIX
179	CDH12
180	HSF4
181	RSU1
182	NEDD9
183	PIK3IP1
184	HEG1
185	ART4
186	
187	
188	MAN2A2
189	DHRS1
190	TMSB15A
191	
192	TOB1
193	NPTN
194	ETFB
195	HDGFRP3
196	
197	MAPK8IP3
198	PSMB1
199	
200	LAMC2
201	GYPE
202	FUT8
203	
204	
205	SFXN2
206	BFAR
207	C14orf156
208	FRG1B
209	ERO1L
210	RALYL
211	
212	CNTN6
213	
214	BPTF
215	CDYL2
216	GAD2
217	FBXO9
218	SFXN1
219	
220	TMED7
221	CCDC21
222	MAP1B
223	ETS2
224	LCE3E
225	PART1
226	CDS2
227	FAM82B
228	MBTPS1
229	C21orf34
230	RNASE4
231	PECI
232	EGFR
233	ARL5A
234	RPL26L1
235	H2AFZ
236	PLA2G6
237	
238	
239	CBLN4
240	NKD1
241	ASB10
242	MDC1
243	
244	RBP3
245	FAM3C
246	GJA1
247	PLEKHF1
248	
249	
250	
251	
252	
253	
254	
255	
256	
257	
258	
259	
