
!Sample_title	"9830-030118B"	"9830-030584B"	"9830-030619B"	"9830-040072B"	"9830-030363B"	"9830-030267B"	"9830-030399B"	"MMS AN"	"MMS AO"	"MMS AP"	"MMS E"
"ID_REF"	"GSM373115"	"GSM373116"	"GSM373117"	"GSM373118"	"GSM373119"	"GSM373120"	"GSM373121"	"GSM455544"	"GSM455545"	"GSM455546"	"GSM455554"
1	-4.386	-3.427	.087	-.192	-4.273	-3.792	-5.019	-.562	.645	.182	-4.64
2	-.589	-.196	-.998	.529	-.628	.55	-.566	-.627	-.302		.69
3	.011	-.072	1.079	.122	.284	.995	-.062	-.046	.581	.388	.368
4	.349	.061	.925	-.077	.454	-.084	.29	.269	.541	.646	.548
5	-.14	1.148	-.113	-.248	1.88	1.538	.77	.345	.555	.766	1.034
6	-.434	-.619	-1.482	-.428	.664	-1.876	-.256	-.522	-.408	-.195	-.506
7	-4.436	-4.294	.337	-.509	-4.259	-3.28	-5.352	-.155	.251	.074	-5.135
8	.463	-.023	.122	-.739	-.962	-.666	.493	-.12	-.058	-.212	-.01
9	.019	.187	1.268	.107	.148	.884	.481	.24	.311	.128	.49
10	-.329	-.247	.983	-.103	.378	.103	-.184	-.033	.121	.283	-.119
11	-.1	-.008	.818	-.386	.023	.013	-.097	.103	1.071	.041	.159
12	1.236	.745	-2.156	1.572	.81	.982	.794	.755	.759	.837	-1.127
13	.887	-.052	-1.158	.2	.537	-.488	.398	-.482	.176	-.575	-.343
14	-4.684	-3.587	-.068	.611	-4.07	-3.655	-4.994	.026	.645	-.636	-4.891
15	.178	1.653	.16	.256	.785	.29	1.401	.212	1.156	.668	2.788
16	1.619	.67	-.576	-.632	.804	.75	.191	.466	.679	-.723	.207
17	-.317	-.35	.638	-.148	-.137	.091	-.115	-.033	.2	-.16	.28
18	.892	.896	1.004	.213	1.908	1.155	1.662	2.869	2.201	1.537	.398
19	.525	.712	-2.87	.54	.911	.878	.806	-.279	1.102	.884	-1.111
20	-.608	-.559	-2.189	-.354	-.117	-.702	-.532	-.331	.194	.045	-.596
21	-4.533	-4.659	-.138	.068	-5.257	-3.642	-4.792	-.159	1.148	-1.001	-5.595
22	1.615	.192	-.718	-.203	-.466	-.041	1.409	.208	.153	-.666	-.201
23	-1.927	-1.316	-3.053	-.41	-.362	-1.941	-.554	-1.638	-1.751	-2.099	-2.85
24	.942	.873	2.114	1.301	.53	1.462	.558	-.033	.721	.36	-.278
25	-.318	-1.033	-1.157	.062	-.796	-1.164	-.282	-.482	-.349	-.503	-2.055
26	-.597	-.617	2.4	-.137	-.002	.601	-.318	-.453	.374	-.268	.118
27	-1.175	-.575	-1.438	-.446	.226	1.209	.341	.761	1.239	1.78	.104
28	-4.683	-4.006	-.332	.001	-4.386	-4.768	-4.864	-.211	.138	-.716	-5.044
29	-1.69	-1.477	-.716	-1.34	-1.054	-1.965	-1.416	-1.715	-1.095	-1.026	-1.662
30	-.621	-.515	.218	1.294	-.837	-.225	3.744	.422	-.1	-.96	-.361
31	1.453	-.146	1.86	.01	.116	1.283	.089	-.342	.233	-.017	-.249
32	-.406	-.175	-.364	-.588	-.379	-.023	-.33	.063	.397	-.647	-.395
33	.119		-1.121	.564	.1	-1.571	.845	-.649	-.197	-.967	-.316
34	.625	1.258	3.54	.596	2.041	3.163	.656	.632	1.429	1.337	-.207
35	-4.811	-4.302	-.438	.241	-4.617	-2.952	-5.289	-.48	-.009	-.934	-4.817
36	-2.398	-2.091	-1.821	-1.728	-1.647	-3.329	-.351	-1.79	-2.247	-2.074	-1.983
37	.136	-.369	.035	-1.346	-.267	-1.333	.789	-.148	-.049	-1.11	-.254
38	-.239	-.102	.76	.113	-.386	-.271	-1.047	-.226	.237	-.784	-.385
39	.337	.922	4.173	.507	1.02	3.021	.38	.633	1.131	1.119	.4
40	-.991	.949	1.051	-1.103	-.272	1.081	.396	.279	1.511	1.257	2.027
41	-.506	-.193	-1.295	1.381	-.052	-.253	.645	-.424	-.435	-.746	-.788
42	-4.765	-3.966	-.35	.012	-4.369	-4.035	-4.962	.23	.227	-.14	-4.873
43	.268	.239	.293	.449	.112	.447	-.022	-.243	.407	.237	.103
44	-1.571	-2.742	-2.886	-.09	-.933	-3.696	-1.39	-3	-3.649	-4.329	-4.807
45	.175	.959	.027	.631	.866	-.018	.346	.099	.129	-.454	.287
46	1.434	1.166	.214	.345	1.132	-.199	1.314	.829	.579	.102	1.294
47	-.256	.065	1.627	.41	-.145	1.269	-.158	.195	.564	.325	.447
48	.491	.292	-.559	-.396	.678	.478	.652	1.173	1.165	1.044	2.736
49	-4.528	-4.485	.2	-.2	-4.487	-4.597	-5.405	-.194	.214	-.142	-5.836
50	1.731	.388	-1.771	1.755	.518	-2.193	.922	.178	-.574	-.763	-2.235
51	-2.387	-.246	-1.641	-1.474	-2.308	.778	.379	-.369	-.06	.849	-1.983
52	-1.044	-1.21	-1.063	-1.477	-1.514	-1.505	-1.147	.026	-.367	-.703	-1.44
53	.364	.075	-1.376	.376	-.376	-2.148	.068	-.255	-1.521	-1.742	-2.306
54	-1.295	-1.46	-1.571	-1.417	-.845	-1.482	-1.17	-1.298	-.364	-.674	-1.983
55	-1.105	-.487	.224	-.037	-.795	-.294	-.705	-.44	-.573	-.591	-1.342
56	-5.472	-4.585	.161	.167	-4.221	-4.438	-5.634	-.198	.171	.328	-5.141
57	-1.178	.109	-.606	-.637	.046	-.426	-.143	-.962	.573	.055	.256
58	-.157	-.501	-1.202	1.222	.435	-.073	-.617	1.585	1.807	1.795	-1.83
59	-.458	.165	4.65	-1.498	.036	4.665	-.409	.355	.342	-.591	-.697
60	-.084	1.034	1.228	.392	-.425	-.353	-.253	.097	.282	-.201	-.766
61	-.694	-.19	-.096	.135	-.337	-.93	-.461	-.3	-.631	-.349	-.095
62	.567	.566	-.479	-.55	.387	.113	-.189	-.751	-.224	-.136	-.475
63	-5.031	-3.888	-.788	.23	-4.593	-3.748	-5.189	-.307	.086	-.316	-4.525
64	.07	.758	-1.355	1.836	.679	1.245	1.223	-.383	-.124	.405	-1.178
65	-1.107	-1.555	-.572	-.586	-1.64	-1.076	-1.263	-.356	-.008	-.38	-.601
66	.649	-.08	-1.371	-.315	.18	-.897	.635	.807	-.265	-.42	.194
67	-1.525	-1.796	-1.689	-1.899	-1.444	-1.727	-1.395	-1.226	-1.447	-1.292	-1.667
68	-.788	-.756	-.929	-.337	-.351	-1.538	-.564	-.25	.166	.13	-.306
69	.045	-.138	.465	-.182	.526	-.154	-.643	-.04	-.034		-.527
70	-4.615	-4.126	1.506	.272	-4.439	-4.698	-5.395	.04	-.445	-.708	-3.156
71	.19	.06	.364	-.15	.19	-.314	.394	-.281	-.425	-.226	.461
72	.025	.611	-.862	-2.102	1.679	.632	-.607	1.401	1.762	1.435	1.361
73	-.507	.502	-.045	.271	-.682	-.65	1.201	-.1	.594	.305	-.034
74	-1.005	.055	-.425	-.193	1.739	-.763	-.221	-.156	-.117	.091	-.291
75	-.06	.128	2.407	.333	-.107	1.146	-.002	-.086	.449	.427	-.017
76	-.741	-.62	-.67	-.734	-.983	-1.16	-.749	-.079	-.147	-.725	-.996
77	-5.229	-4.384	-.201	.113	-4.369	-3.605	-4.814	-.647	.598	-.64	-4.867
78	-.455	.397	-.281	.575	-.114	-.109	.664	-.34	1.113	.923	-.363
79	-.168	.186	2.544	.522	.24	1.575	.253	.06	.584	.613	-.165
80	-.483	-.508	.406	.534	-.094	-.311	.193	-.543	-.229	-.25	-.274
81	-1.657	-1.697	-1.471	-1.165	-1.571	-.653	-1.623	-1.529	-1.144	-.831	.145
82	-.051	.171	-1.196	.051	.392	-.642	.316	-.591	-.509	-.603	1.715
83	.361	.493	-1.057	.345	.967	-.068	1.123	-.442	-.508	-.452	.709
84	-4.553	-4.078	.314	.214	-5.181	-4.895	-5.251	-.328	.224		-5.258
85	1.464	-.408	-.272	-.337	1.002	-.223	-.134	.43	.202	-.544	-1.613
86	-.944	-.513	-.527	-1.677	-.644	.107	-.811	-.181	.18	-.035	-.524
87	.135	.627	.424	.011	1.025	2.297	.975	1.797	2.942	2.726	2.562
88	1.511	.676	-.805	1.32	1.961	-.104	1.164	-.363	-.168	-.416	-.171
