
!Sample_title	"UNC-010304B"	"UNC-960028B"
"ID_REF"	"GSM373124"	"GSM373126"
1	.067	-.455
2	.277	-.707
3	-.867	-1.205
4	.06	-.313
5	-.267	-.274
6	.166	-.312
7	-.457	-1.368
8	-.099	-.38
9	.623	-.066
10	-.524	-.38
11	.252	-.093
12	.846	-.35
13	-.081	-2.291
14	.496	.157
15	-2.84	-.287
16	-.009	-.947
17	1.271	-.396
18	.396	1.032
19	-.564	-1.365
20	-.081	-.116
21	.288	.857
22	-.805	-.446
23	.271	1.585
24	.214	-.35
25	1.82	.997
26	-2.968	-1.701
27	.022	.163
28	.094	.386
29	3.519	2.358
30	.365	1.27
31	.642	.291
32	.179	.239
33	-.018	-.526
34	-1.734	-.974
35	2.299	1.893
36	3.269	2.585
37	-.281	-.079
38	.488	-.287
39	-.077	-.396
40	-2.746	-1.85
41	-.071	.86
42	-2.924	-1.466
43	.596	.68
44	-.732	-1.143
45	.018	-1.167
46	0	-.381
47	.217	-.08
48	.964	-.064
49	.481	.352
50	-3.667	-2.353
51	-.089	.441
52	.414	.765
53	.158	-.007
54	-.194	-.35
55	-.031	.297
56	-.031	-.102
57	.373	-.083
58	-.719	-.442
59	-1.681	-.204
60	-.022	1.378
61	.424	-.402
62	.319	-.154
63	-.856	.055
64	-.692	-.303
65	-1.376	-.969
66	-2.018	-.08
67	-.15	.059
68	1.809	-.704
69	1.403	1.065
70	-.288	.871
71	.533	.598
72	-1.385	-.616
73	-.835	.102
74	-.772	-.03
75	.181	-1.158
76	-1.617	-1.65
77	.318	.294
78	.092	-.084
79	-.399	-.519
80	-.891	-.229
81	-.311	.14
82	-.027	-.243
83	-.01	.33
84	-.087	.046
85	-.229	.645
86	-.876	-1.434
87	-.375	.069
88	-.867	-.867
89	-.735	-.521
90	-.683	-.433
91	.415	1.535
92	2.409	1.826
93	-1.459	-1.424
94	-.099	.304
95	-.274	-.072
96	-1.245	-1.944
97	.768	1.444
98	.472	.72
99	-.59	-.626
100	.006	.283
101	-.522	.599
102	-.719	-.654
103	-.241	.064
104	.5	-.641
105	-.387	-.363
106	.001	.239
107	.118	-1.505
108	-1.289	-.461
109	.22	-.171
110	-3.364	-2.215
111	-.351	.077
112	.083	-.167
113	.415	.655
114	-.033	.437
115	-.318	-.362
116	2.216	.857
117	-1.464	-.464
118	.369	.384
119	.507	.16
120	-3.543	-3.726
121	.312	.253
122	-1.205	-.45
123	-1.04	-.799
124	1.302	.692
125	1.303	.135
126	.707	-.791
127	.175	.043
128	.657	-.278
129	-2.114	-3.132
130	-.388	-.047
131	-2.189	-.653
132	.848	1.114
133	-1.113	.005
134	.482	.247
135	.067	-.49
136	-.599	-.246
137	.474	.009
138	.283	-.286
139	.696	.353
140	-.078	.825
141	2.017	1.044
142	.119	.095
143	.044	.5
144	-1.412	-.415
145	.729	-.003
146	-.783	.484
147	1.064	2.378
148	-.502	.454
149	-1.264	.311
150	.347	-.279
151	.169	.478
152	-.764	-.274
153	.252	-.192
154	-1.766	-1.308
155	.079	1.229
156	-.321	.471
157	.522	-.38
158	-.346	1.759
159	.592	.874
160	.981	.351
161	-.068	-.058
162	-.949	-.691
163	-.901	-.893
164	1.22	.564
165	-.087	.484
166	-.451	.497
167	-2.813	-.497
168	-1.472	.213
169	.397	.682
170	.127	-.175
171	-.306	1.035
172	.257	.033
173	.312	.032
174	2.043	2.167
175	.436	-.229
176	-.027	-.409
177	.845	.052
178	1.048	1.492
179	-.482	-.704
180	.07	-.281
181	-.346	.162
182	-1.098	-.07
183	.851	-.19
184	1.825	.036
185	.247	.43
186	.074	1.407
187	.313	.844
188	1.266	1.149
189	-.178	-.696
