
!Sample_title	"030064-BC-Brain-Met"	"BC00014-Repeat1"	"BC00057-post-chemo"	"BC00064-RECUR"	"PB362"	"UB67-Repeat1"	"BC00085"	"020577-BC-Brain-Met(=73)"	"Normal-Breast-8"	"BC00078T"	"BC00082T"	"PB432-repeat1"	"030311-BC-Brain-Met"	"982085-BC-Brain-Met"	"BC00030-MET-post chemo"	"BC00048"	"BC00083"	"BC00094T"	"BR94-187"
"ID_REF"	"GSM34435"	"GSM34436"	"GSM34444"	"GSM34469"	"GSM34501"	"GSM34503"	"GSM34509"	"GSM34520"	"GSM34524"	"GSM34551"	"GSM34552"	"GSM52882"	"GSM80214"	"GSM80215"	"GSM80225"	"GSM80228"	"GSM80234"	"GSM80236"	"GSM80239"
1	-4.011	-3.422	-.923		-2.859	-3.625	-2.636	-5.36	-1.581	-1.856	-2.138	-3.092	-3.26	-4.665	-3.174	-5.255	-4.54		-1.048
2	-1.727	-1.803	-2.45	-.809	-.914	-1.073	-1.372	-1.561	-.168	.021	-.628	-.239	-.525	-1.197	-.615	-1.979	-1.528		.75
3	-.316	-.57	-.232	-.364	-.334	-.137	.026	-.515	.421	-.261	.047	-.282	.405	-.313	-.256	.179	-.003	.699	-.204
4	-.354	-.934	-1.534	-.865	-.663	.119	.023	.327	.502	.104	-.154	-.995	-.814	-1.282	-.925	-.828	.477		-.396
5	-.576	-1.641	-.783	.146	-.732	.036	-.319	-.413	-1.284	-.867	-.678	-.301	-.364	-1.212	-.729	-.782	-.69		-.588
6		0	-3.245	-.043	1.534	0	-.352	-2.676	-.168	0	0	0	0	-1.51	0	.271	0		0
7	-3.765	-3.673	-1.698	-2.667	-3.327	-3.573	-2.494	-5.067	-2.175	-2.567	-2.575	-3.78	-3.202	-4.277	-3.382	-5.6	-4.578		-1.586
8	.118	.007	-1.525	.256	-.236	.045	.504	-.434	.88	.483	.491	-.173	.444	.485	-.193	.033	.528	.536	.804
9	.105	-.084	-.852	.462	.219	.847	.457	-.718	-.24	.22	.223	.197	.101	1.002	1.07	.434	.039		-.684
10		.899	0	.632	1.848	-.175	0	.565	.475	.99	.175	.953	0	1.742	0	0	0	0	-1.353
11	-.598	-.73	-.471	-.312	-.214	-.438	-.554	-.913	-.091	-.747	-.415	-.023	-.919	-.442	-.408	-1.012	-.449	-.522	-.107
12		0	0	.813	-.152	1.46	1.184		0	-.159	1.666	-1.047	.354		0	0	0	1.168	
13	.031	-.692	-.24	-.102	-.266	.133	-.224	.273	.203	-.2	.176	-.111	.105	-.015	-.127	-.37	-.201	.164	.044
14	-3.902	-3.724	-1.98	-2.876	-3.575	-3.429	-3.595	-5.716	-2.277	-2.624	-2.513	-3.884	-3.733	-4.55	-3.485	-5.119	-4.458	-2.489	-1.653
15	-.671	-.43	-.913	-.112	-.743	-1.026	-.355	-.319	-.748	-1.324	-.551	.161	-1.114	-.736	-.493	-.72	-.975	-.582	-1.212
16	.396	-.513	-.694	-.256	-.075	-.148	-.024	1.364	.686	-.011	.166	-.077	-.018	-.385	-.294	-.193	-.122		.233
17	-.93	-.675	-.311	-.228	-1.589	-.658	-.465	-1.147	-.509	-.448	-.188	-.287	.381	-1.058	-.074	-.576	-.798		-.086
18	.004	.899	0	-1.181	-.133	0	0		0	0	.436	0	0		0	0	0	0	-2.474
19		1.754	0	-3.199	0	0		2.112	0	0	0	-.145	-1.131	.49	1.421	-1.059	.285	-1.21	0
20	1.279	0	0	.261	0	.55	0	.415	-1.068	0	-.28	0	0	-1.51	.934	-.875	0	0	0
21	-3.635	-4.145	-2.135	-2.784	-3.732	-3.201		-5.453	-1.957	-2.71	-2.635	-3.677	-3.46	-4.624	-3.346	-5.516	-4.506	-2.564	
22		0	-1.521	-.174	0	-2.175	0	.458	0	0	0	.151	2.097	1.742	0	.903	0	-.832	.902
23	-3.145	.447	-2.352	-2.153	-3.385	-1.571	-.567	-2.156	-2.445	-1.691	-1.502	-1.492	.171	-1.451	-1.792	-.18	-1.982	-1.095	-.859
24		0	-.411	0	-.133	0	0	-.443	1.102	.846	-.286	-1.047	0	.022	0	0	0	0	0
25	-1.01	-1.343	-1.508	-.176	-1.368	-.121	.849	-.851	-1.503	.308	-.29	-.693	-.282	-.816	-.729	-.623	-1.122		.56
26	-1.401	-2.107	-1.719	-1.428	-.623	-1.006	-1.125	-2.638	-.617	-1.331	-.051	-.354	-2.98	-3	-1.795	-1.326	-1.967	-1.855	
27		0	0	.071	0	0	-3.83	1.72	.475	0	0	0	-1.617	-.768	0	0	0	-.02	0
28	-3.757	-3.713	-2.04	-2.778	-3.536	-3.448	-2.384	-5.527	-2.179	-2.707	-2.552	-3.9	-4.087	-4.349	-3.543	-5.378	-4.414	-2.527	-1.61
29	3.54	2.578	1.513	1.626	2.409	2.767	2.565	.03	3.729	2.796	2.386	1.364	.756	-.167	1.575	.88	1.873	3.642	-.151
30	-1.425	-1.108	-1.733	-.236	-1.347	-.65	.039	-.777	-2.787	-1.732	-.577	.291	1.86	-1.788	-.99	-1.509	-1.817		-.508
31	.037	1.954	1.093	1.425	1.778	2.885	.285	-.001	1.634	.976	1.007	.534	.715	-.261	1.247	.263	1.638	1.39	.094
32	.024	-.271	-.113	-.034	.473	.329	.07	-.713	.312	-.328	-.184	.21	.593	-1.021	.11	.431	-.164	.22	-.028
33	1.38	-.417	-1.576	-.65	-2.073	-.96	-.016	-.795	-.507	-1.16	-.217	-.875	.151	2.172	-.686	-1.549	-1.193	-.811	-1.19
34		0	0	0	0	0	0	-3.196	0	0	1.343	0	0	.49	.934	0	0	1.168	0
35	-4.246	-3.744	-2.182	-2.871	-3.67	-3.128	-3.557	-5.404	-2.236	-2.988	-2.556	-4.137	-3.946	-4.778	-3.571	-5.328	-4.849	-2.723	-1.678
36	-.067	-.77	-.656	-.18	-.472	-.329	-.09	-.315	.203	-.662	.309	-.507	.054	1.531	-.552	-.361	-.366	.012	.108
37	.12	-.021	.172	.076	.42	.212	-.002	-.071	.175	.233	.158	-.075	-.363	-.386	.253	-.365	.137	.749	.341
38	.16	-.13	.2	.067	.002	.199	.395	.064	.813	.594	1.109	.174	.318	.973	-.025	-.156	.04	.597	.112
39	-2.443	-1.933	1.26	-1.218	-.798	.347	-.58	-2.517	-.732	2.324	-1.489	-1.649	-1.226	-2.37	-.662	-1.036	-1.074	-1.645	-.68
40	-2.548	-.474	-1.411	-.581	-.545	.194	-.657	-2.225	-1.155	-1.251	.377	.164	-.55	-1.739	-.796	-.814	-.326	2.686	-.43
41	-.09	-.36	.708	.898	-.214	1.967	.414	-.003	.737	.224	1.174	.071	.319	-.092	1.073	.403	-.161	.38	.159
42	-3.228	-3.513	-1.65	-3.023	-3.687	-3.238	-3.958	-5.279	-2.319	-2.864	-2.621	-4.117	-3.954	-4.736	-3.385	-5.552	-4.698	-2.696	-1.668
43	-.01	-.291	-.134	-.128	-.291	-.223	.028	.011	.773	-.637	-.116	-.728	.091	-.054	-.288	-.409	-.224	-.074	.031
44	-1.637	-1.237	-.304	.352	-.104	.454	-.407	-.953	-1.319	-.949	-.265	.06	-1.567	-3.175	-1.068	.193	3	-.027	-1.955
45	-1.014	-1.42	-.519	-.69	-.913	-.419	.868	-1.579	-.09		-.261	-.366	-1.121	-.542	-1.328	-1.958	-1.304	.272	-1.532
46	-.22	-.005	.444	-.239	.572	-.348	-.236	-.614	-.348	.222	-.052	-.314	.319	.182	.973	.279	-.841	.121	-.168
47		0	1.129	-.589	-2.522	0	-1.095		0	-1.948	1.343	0	0	-.258	.934	0	.285	-.02	.675
48	-.211	-.826	-.645	-.372	-.144	-.747	-.344	-.823	1.023	-.596	-.338	-.537	-.724	-.637	-.578	-.453	-.573	-.372	.088
49	-3.854	-2.731	-1.672	-2.99	-3.82	-3.599	-4.011	-5.348	-2.352	-2.55	-2.825	-4.016	-3.696	-4.814	-3.676	-5.663	-4.843	-2.738	-1.557
50	.141	.619	.497	.444	.505	.982	.536	-.109	.447	-.327	.684	1.414	.917	.002	.767	.58	1.095	-.358	-.185
51	-1.546	-.486	1.006	-.114	.215	-.596	-.287	-.53	.211	-.137	-.34	-.169	-.115	-.58	-.556	.271	-.69	.113	
52	-.472	-.315	-.031	.188	-.158	-.133	.271	-1.035	-.095	.051	0	.039	-.639	-.59	.027	-.385	-.173	.316	.32
53		.216	0	-.238	0	0	0	1.227	0	0	-1.825	.151	0	-.701	0	0	0	0	.053
54	-1.153	0	1.129	2.281	0	-.175	-1.088	-1.158	0	0	-.468	.953	0		0	0	.285	0	1.505
55	-.772	-1.183		-.619	-.477	-.899	-.555	-1.431	-.115	-.343	-.59	-.528	-.281	-.772	-1.036	-.508	-.184	-.514	-.513
56	-4.049	-3.71	-1.738	-3.12	-3.719	-3.459	-3.139	-5.858	-2.383	-2.8	-2.734	-4.072	-3.71	-4.023	-3.537	-5.128	-4.608	-2.772	-1.699
57	-.697	.011	-.015	-.094	-.63	.213	-.153	-1.191	.925	-1.105	-.08	-.263	-2.12	-.592	-.875	-.445	.053	.225	.135
58	-1.491	-1.715	-.681	-.455	-1.058	.634	-.203	-1.051	-.941	-.364	-.118	-.122	-.125	-.73	-.995	-.966	-.896	.097	.273
59	-.394	-.549	-.069	-.265	.81	-.013	.344	-1.034	-.335	-1.014	-.373	-.858	.014	-.685	-.163	-.393	-.854	-.375	.168
60	-.045	.195	.114	.092	.463	.602	.386	-.081	-.052	.234	.293	.055	.598	.852	.566	1.044	-.002	.473	.155
61	-.123	-.342	-.374	.412	.022	.956	1.772	-.223	-.616	.767	1.013	.299	.48	-.067	.245	-.894	-.359	.801	.174
62	-.837	-1.077	-.622	.295	-.889	-.262	.869	-.338	-.278	.069	.373	-.392	-.189	-.507	-.674	-.465	-.57	.183	-.751
63	-4.287	-3.498		-3.076	-3.662	-3.461	-3.834	-5.835	-2.182	-2.195	-2.802	-3.969	-3.836	-3.663	-3.514	-5.526	-4.754	-2.894	-1.636
64	-.645	-.65	.089	.12	-.216	.054	1.878	-.288	.252	.778	.415	-.269	-.206	-1.763	.627	-.134	-.867	2.279	-.651
65	.364	-.166	-.136	.184	.102	.443	.443	.586	1.284	-.177	.418	-.237	.414	.156	-.078	.201	.841	.145	.037
66	-1.679	-1.866	-1.066	-.682	-1.155	-1.667	-1.272	-1.536	-2.881	-2.27	-.445	-.519	-1.317	-.893	-.111	-1.873	-1.723	-1.575	-.235
67	-.138	-.4	-.05	.014	.205	-.077	.286	-.099	1.479	-.123	.369	-.095	.634	-.183	-.185	-.213	-.021	.208	.13
68	-1.325	-1.303	-.323	.227	-1.078	.213	-.7	-1.373	-.659	-.577	.166	-.41	-1.104	.053	-.604	-1.611	-.237	.978	-.92
69	.984	1.087	.038	.186	.599	-.225	.391	.297	2.633	-.281	.472	-.493	.873	-.836	.476	.724	1.121	.185	.105
70	-3.769	-3.705	-1.516	-3.148	-4.069	-3.482	-4.104	-5.483	-2.582	-2.993	-2.892	-4.041	-3.392	-4.469	-3.583	-5.491	-4.73	-2.761	-1.779
71	.366	.066	.599	.75	.231	2.084	.486	.226	.514	.819	1.224	.715	.651	.974	.482	.533	.98	.994	2.895
72	-.11	-.782	-.522	-.211	-.534	-1.073	-.259	-.027	-.329	-.557	-.603	-.736	-1.188	-1.103	-1.697	-.585	.227	-.107	.494
73	-1.276	.216	.479	-.043	1.147	-.214	0	.923	.475	0	.947	.953	0		0	-.22	-.846	-1.21	-.474
74	-.644	-1.558	-.468	-.772	-.55	-1.201	-.638	-.906	-.635	-.359	-.848	.273	-.487	-.366	-.695	-.491	-.908	-.246	-.152
75	-.705	-.57	.051	.181	.552	-.236	-.133	-1.193	-.549	-.219	.046	.483	.164	-.478	-.334	-.224	-.002	.916	-.404
76	-1.509	-1.272	.469	-1.107	-1.45	-.331	-.269	-.81	-2.09	-.874	.079	-.055	-2.613	-1.693	-.836	-1.115	-1.043	-1.228	.211
77	-3.849	-3.775	-1.573	-3.041	-3.732	-3.455	-4.555	-5.885	-2.22	-2.193	-2.716	-4.05	-3.6	-4.61	-3.528	-5.224	-4.934	-2.751	-1.773
78	.716	.051	-.05	.153	-.136	.097	.669	1.104	1.309	.307	.406	-.221	.608	.142	.122	.397	-.187	.202	.05
79	.552	-1.299	-.508	.294	-.933	.334	-.05	.179	-.746	-.574	.552	-.675	.528	-.682	-.586	-.868	-.523	.47	-.361
80	-1.239	-.938	-.902	-.418	-2.13	-.331	.466	-1.113	-1.397	-.116	-.794	-.843	-1.007	-.735	-.622	-.924	-1.294	-.004	.388
81	-.524	-.147	1.648	1.658	-.737	2.513	-.36	-.67	-.397		2.032	1.959	.415	-1.099	1.658	2.359	-.157	.825	.229
82	-2.273	-.686	-.966	-.819	-1.32	-1.134	-.775	-1.297	-1.885		-1.063	-1.032	-.985	-1.144	-1.338	-1.708	-1.417	-.957	-.463
83	-.045	-.035	-.572	-.251	-.002	-1.232	.039	.346	.18	-.139	-.305	-.209	-.515	-.506	-.099	.276	-.624	-.614	-.116
84	-3.676	-3.66	-1.55	-3.148	-3.737	-3.721	-3.39	-5.533	-2.383	-2.57	-2.854	-4.075	-3.785	-4.312	-3.553	-5.206	-4.765	-2.898	-1.764
