"ID"	"CLONEID"	"GSE22133_hitBLAT"	"GSE22133_geneSymbol"	"GSE22133_description"
"31"	"H300005900"	"uc001vft.1"	"AK124707"	"AK124707 : Homo sapiens cDNA FLJ37307 fis, clone BRAMY2016327."
"32"	"H200003146"	"NM_052902"	"STK11IP"	"STK11IP : LKB1 interacting protein"
"33"	"H300007286"	"NM_001042462"	"TRAPPC5"	"TRAPPC5 : trafficking protein particle complex 5"
"34"	"H200011174"	"NM_030935"	"TSC22D4"	"TSC22D4 : TSC22 domain family 4"
"53"	"H300021579"	"NM_003707"	"RUVBL1"	"RUVBL1 : RuvB-like 1"
"55"	"H300000268"	"NM_175887"	"LOC222171"	"LOC222171 : proline rich 15"
"56"	"H300016131"	"uc001xsa.1"	"TTLL5"	"TTLL5 : tubulin tyrosine ligase-like family, member 5"
"61"	"H300010274"	"NM_001004125"	"TUSC1"	"TUSC1 : tumor suppressor candidate 1"
"64"	"H300009952"	"NM_001007534"	"C3orf56"	"C3orf56 : hypothetical protein LOC285311"
"66"	"H300005826"	"uc002cvu.1"	"BC095475"	"BC095475 : Homo sapiens cDNA FLJ38093 fis, clone CTONG2027361."
"75"	"H300003280"	"NM_152405"	"JMY"	"JMY : junction-mediating and regulatory protein"
"77"	"H300004376"	"NM_015590"	"GPATC4"	"GPATC4 : G patch domain containing 4 isoform 1"
"79"	"H300000771"	"NM_134268"	"CYGB"	"CYGB : cytoglobin"
"80"	"H300010057"	"NM_178868"	"CMTM8"	"CMTM8 : CKLF-like MARVEL transmembrane domain containing"
"89"	"H300021153"	"NM_080861"	"SPSB3"	"SPSB3 : SPRY domain-containing SOCS box protein SSB-3"
"91"	"H300005109"	"NM_052896"	"CSMD2"	"CSMD2 : CUB and Sushi multiple domains 2"
"93"	"H300003045"	"NM_001004331"	"MGC88374"	"MGC88374 : hypothetical protein LOC440184"
"95"	"H300000158"	"NM_001010854"	"TTC7B"	"TTC7B : tetratricopeptide repeat domain 7B"
"96"	"H300021397"	"NM_153271"	"SH3PX3"	"SH3PX3 : SH3 and PX domain containing 3"
"97"	"H300000959"	"NM_152641"	"ARID2"	"ARID2 : AT rich interactive domain 2 (ARID, RFX-like)"
"98"	"H300001308"	"NM_001024598"	"HES3"	"HES3 : Transcription factor HES-3 (Hairy and enhancer of split 3)."
"99"	"H300004868"	"NM_173479"	"LOC126248"	"LOC126248 : PQQ repeat and WD repeat domain containing"
"101"	"H300006940"	"NM_001080520"	"LOC644168"	"LOC644168 : similar to paired related homeobox protein-like"
"104"	"H300021992"	"NM_022458"	"LMBR1"	"LMBR1 : limb region 1 protein"
"106"	"H300017033"	"NM_199511"	"URB"	"URB : steroid-sensitive protein 1"
"107"	"H200021006"	"uc002kge.1"	"B3GNTL1"	"B3GNTL1 : Homo sapiens cDNA FLJ30195 fis, clone BRACE2001374."
"109"	"H200021030"	"NM_022782"	"MPHOSPH9"	"MPHOSPH9 : M-phase phosphoprotein 9"
"124"	"H300003817"	"NM_006216"	"SERPINE2"	"SERPINE2 : plasminogen activator inhibitor type 1, member"
"126"	"H300009812"	"NM_017640"	"LRRC16"	"LRRC16 : leucine rich repeat containing 16"
"130"	"H300017617"	"NM_032199"	"ARID5B"	"ARID5B : AT rich interactive domain 5B (MRF1-like)"
"134"	"H300020485"	"NM_033484"	"FBXO4"	"FBXO4 : F-box only protein 4 isoform 2"
"137"	"H200019480"	"NM_004757"	"SCYE1"	"SCYE1 : small inducible cytokine subfamily E, member 1"
"138"	"H200020264"	"NM_052897"	"MBD6"	"MBD6 : methyl-CpG binding domain protein 6"
"141"	"H200019528"	"uc001csd.1"	"DMRTA2"	"DMRTA2 : DMRT-like family A2."
"147"	"H200019510"	"NM_032346"	"MGC13096"	"MGC13096 : programmed cell death 2-like"
"155"	"H200019884"	"uc003vwh.1"	"AGK"	"AGK : Homo sapiens mRNA for putative lipid kinase."
"157"	"H200019908"	"NM_006051"	"APBB3"	"APBB3 : N/A"
"159"	"H200019932"	"NM_005918"	"MDH2"	"MDH2 : mitochondrial malate dehydrogenase precursor"
"160"	"H200020626"	"NM_144677"	"MGAT5B"	"MGAT5B : beta(1,6)-N-acetylglucosaminyltransferase V"
"163"	"H200019890"	"NM_006587"	"CORIN"	"CORIN : corin"
"165"	"H200019914"	"NM_003917"	"AP1G2"	"AP1G2 : adaptor-related protein complex 1, gamma 2"
"167"	"H200019938"	"NM_015027"	"KIAA0251"	"KIAA0251 : hypothetical protein LOC23042"
"168"	"H200021000"	"NM_138494"	"ZNF655"	"ZNF655 : zinc finger protein 655 isoform a"
"177"	"H200017984"	"NM_006738"	"AKAP13"	"AKAP13 : A-kinase anchor protein 13 isoform 1"
"183"	"H200017966"	"NM_031934"	"RAB34"	"RAB34 : RAB39"
"187"	"H200018014"	"NM_080741"	"NEU4"	"NEU4 : sialidase 4"
"196"	"H200019172"	"NM_024313"	"MGC3731"	"MGC3731 : nucleolar protein 12"
"198"	"H200019106"	"NM_031210"	"C14orf156"	"C14orf156 : SRA stem-loop-interacting RNA-binding protein"
"202"	"H200019154"	"uc001orh.1"	"IL18BP"	"IL18BP : interleukin 18 binding protein precursor"
"204"	"H200019178"	"uc002one.1"	"AKT2"	"AKT2 : v-akt murine thymoma viral oncogene homolog 2"
"212"	"H200017200"	"NM_015914"	"TXNDC11"	"TXNDC11 : thioredoxin domain containing 11"
"214"	"H200017224"	"NM_032237"	"FLJ23356"	"FLJ23356 : hypothetical protein LOC84197"
"217"	"H200016488"	"NM_021116"	"ADCY1"	"ADCY1 : brain adenylate cyclase 1"
"218"	"H200017272"	"NM_015481"	"ZNF385"	"ZNF385 : zinc finger protein 385"
"219"	"H200016512"	"NM_004285"	"H6PD"	"H6PD : hexose-6-phosphate dehydrogenase precursor"
"222"	"H200017230"	"NM_006389"	"HYOU1"	"HYOU1 : oxygen regulated protein precursor"
"224"	"H200017254"	"NM_173620"	"HEXDC"	"HEXDC : hexosaminidase (glycosyl hydrolase family 20,"
"226"	"H200017278"	"NM_005138"	"SCO2"	"SCO2 : cytochrome oxidase deficient homolog 2"
"232"	"H200017628"	"NM_000157"	"GBA"	"GBA : glucocerebrosidase precursor"
"240"	"H200015372"	"NM_014977"	"ACIN1"	"ACIN1 : apoptotic chromatin condensation inducer 1"
"245"	"H200014570"	"NM_001034155"	"C9orf102"	"C9orf102 : stretch responsive protein 278 isoform b"
"247"	"H200014594"	"NM_014668"	"GREB1"	"GREB1 : GREB1 protein isoform a"
"250"	"H200015680"	"NM_004949"	"DSC2"	"DSC2 : desmocollin 2 isoform Dsc2b preproprotein"
"251"	"H200014920"	"NM_005791"	"MPHOSPH10"	"MPHOSPH10 : M-phase phosphoprotein 10"
"252"	"H200015704"	"uc001odw.1"	"NR_002802"	"NR_002802 : Human MEN1 region clone epsilon/beta mRNA, 3' fragment."
"254"	"H200015728"	"NM_012285"	"KCNH4"	"KCNH4 : potassium voltage-gated channel, subfamily H,"
"259"	"H200014926"	"NM_004098"	"EMX2"	"EMX2 : empty spiracles homolog 2"
"261"	"H200014950"	"NM_014988"	"DKFZP686A01247"	"DKFZP686A01247 : hypothetical protein LOC22998"
"263"	"H200014974"	"NM_006669"	"LILRB1"	"LILRB1 : leukocyte immunoglobulin-like receptor,"
"264"	"H200015758"	"NM_004133"	"HNF4G"	"HNF4G : hepatocyte nuclear factor 4, gamma"
"266"	"H200016060"	"NM_005260"	"GDF9"	"GDF9 : growth differentiation factor 9 precursor"
"273"	"H200013020"	"NM_006194"	"PAX9"	"PAX9 : paired box gene 9"
"274"	"H200013804"	"NM_000775"	"CYP2J2"	"CYP2J2 : cytochrome P450, family 2, subfamily J,"
"275"	"H200013044"	"NM_014666"	"ENTH"	"ENTH : epsin 4"
"276"	"H200013828"	"NM_024519"	"FAM65A"	"FAM65A : hypothetical protein LOC79567"
"282"	"H200013810"	"NM_003468"	"FZD5"	"FZD5 : frizzled 5 precursor"
"287"	"H200013098"	"NM_014489"	"FRAG1"	"FRAG1 : FGF receptor activating protein 1"
"290"	"H200014184"	"NM_206886"	"CCDC18"	"CCDC18 : sarcoma antigen NY-SAR-41"
"291"	"H200013424"	"NM_024509"	"LRFN3"	"LRFN3 : leucine rich repeat and fibronectin type III"
"293"	"H200013448"	"NM_018166"	"C1orf78"	"C1orf78 : hypothetical protein LOC55194"
"295"	"H200013472"	"NM_080385"	"CPA5"	"CPA5 : carboxypeptidase A5"
"296"	"H200014166"	"NM_005994"	"TBX2"	"TBX2 : T-box 2"
"297"	"H200013406"	"NM_033224"	"PURB"	"PURB : purine-rich element binding protein B"
"300"	"H200014214"	"NM_021009"	"UBC"	"UBC : ubiquitin C"
"308"	"H200011958"	"NM_024052"	"C17orf39"	"C17orf39 : hypothetical protein LOC79018"
"309"	"H200011198"	"NM_015687"	"FILIP1"	"FILIP1 : filamin A interacting protein 1"
"310"	"H200012260"	"NM_014487"	"ZNF330"	"ZNF330 : zinc finger protein 330"
"311"	"H200011500"	"NM_001014433"	"CUTA"	"CUTA : cutA divalent cation tolerance homolog isoform"
"315"	"H200011548"	"NM_002017"	"FLI1"	"FLI1 : Friend leukemia virus integration 1"
"316"	"H200012332"	"NM_004967"	"IBSP"	"IBSP : integrin-binding sialoprotein precursor"
"317"	"H200011572"	"NM_016022"	"APH1A"	"APH1A : anterior pharynx defective 1 homolog A isoform"
"319"	"H200011506"	"NM_020803"	"KLHL8"	"KLHL8 : kelch-like 8"
"322"	"H200012314"	"NM_000219"	"KCNE1"	"KCNE1 : potassium voltage-gated channel, Isk-related"
"325"	"H200011578"	"NM_016480"	"PAIP2"	"PAIP2 : poly(A) binding protein interacting protein 2"
"328"	"H200012664"	"NM_152326"	"ANKRD9"	"ANKRD9 : ankyrin repeat domain 9"
"331"	"H200011928"	"NM_012212"	"LTB4DH"	"LTB4DH : NADP-dependent leukotriene B4"
"332"	"H200012712"	"NM_001165"	"BIRC3"	"BIRC3 : N/A"
"333"	"H200011952"	"NM_003929"	"RAB7L1"	"RAB7L1 : RAB7, member RAS oncogene family-like 1"
"336"	"H200012670"	"NM_175866"	"UHMK1"	"UHMK1 : kinase interacting stathmin"
"337"	"H200011910"	"NM_003506"	"FZD6"	"FZD6 : frizzled 6"
"340"	"H200012718"	"NM_016073"	"HDGFRP3"	"HDGFRP3 : hepatoma-derived growth factor, related protein"
"343"	"H200009630"	"NM_032434"	"ZNF512"	"ZNF512 : zinc finger protein 512"
"346"	"H200010438"	"NM_006415"	"SPTLC1"	"SPTLC1 : serine palmitoyltransferase subunit 1 isoform a"
"351"	"H200010004"	"NM_002235"	"KCNA6"	"KCNA6 : potassium voltage-gated channel, shaker-related"
"356"	"H200010746"	"NM_019034"	"RHOF"	"RHOF : ras homolog gene family, member F"
"357"	"H200009986"	"NM_018638"	"ETNK1"	"ETNK1 : ethanolamine kinase 1 isoform A"
"358"	"H200010770"	"NM_000734"	"CD247"	"CD247 : T-cell receptor zeta chain isoform 2 precursor"
"362"	"H200010818"	"NM_003025"	"SH3GL1"	"SH3GL1 : SH3-domain GRB2-like 1"
"365"	"H200010360"	"NM_002196"	"INSM1"	"INSM1 : insulinoma-associated 1"
"366"	"H200011144"	"NM_004785"	"SLC9A3R2"	"SLC9A3R2 : solute carrier family 9 isoform 3 regulator 2"
"370"	"H200011192"	"NM_015397"	"WDR40A"	"WDR40A : WD repeat domain 40A"
"371"	"H200010432"	"NM_015130"	"TBC1D9"	"TBC1D9 : TBC1 domain family, member 9 (with GRAM domain)"
"372"	"H200011126"	"NM_015112"	"MAST2"	"MAST2 : microtubule associated serine/threonine kinase"
"373"	"H200010366"	"NM_002841"	"PTPRG"	"PTPRG : protein tyrosine phosphatase, receptor type, G"
"378"	"H200008846"	"NM_000245"	"MET"	"MET : met proto-oncogene precursor"
"380"	"H200008870"	"NM_031946"	"CENTG3"	"CENTG3 : centaurin, gamma 3 isoform a"
"381"	"H200008110"	"NM_007106"	"UBL3"	"UBL3 : ubiquitin-like 3"
"385"	"H200008158"	"NM_030939"	"C6orf62"	"C6orf62 : chromosome 6 open reading frame 62"
"386"	"H200009220"	"NM_025072"	"PTGES2"	"PTGES2 : prostaglandin E synthase 2 isoform 1"
"394"	"H200009226"	"NM_025075"	"THOC7"	"THOC7 : Ngg1 interacting factor 3 like 1 binding protein"
"395"	"H200008466"	"NM_024835"	"ZNF403"	"ZNF403 : zinc finger protein 403"
"396"	"H200009250"	"NM_025083"	"LSM16"	"LSM16 : enhancer of mRNA decapping 3"
"398"	"H200009274"	"uc001ygm.1"	"KIAA1822"	"KIAA1822 : Homo sapiens mRNA for KIAA1822 protein, partial cds."
"399"	"H200008514"	"NM_058246"	"DNAJB6"	"DNAJB6 : DnaJ (Hsp40) homolog, subfamily B, member 6"
"401"	"H200008538"	"NM_018465"	"C9orf46"	"C9orf46 : hypothetical protein LOC55848"
"403"	"H200008840"	"NM_024953"	"C12orf30"	"C12orf30 : hypothetical protein LOC80018"
"404"	"H200009624"	"NM_001040284"	"PAPD5"	"PAPD5 : PAP associated domain containing 5 isoform a"
"405"	"H200008864"	"NM_001001928"	"PPARA"	"PPARA : peroxisome proliferative activated receptor,"
"407"	"H200008888"	"uc001tdc.1"	"PLXNC1"	"PLXNC1 : plexin C1"
"408"	"H200009672"	"NM_003804"	"RIPK1"	"RIPK1 : receptor (TNFRSF)-interacting serine-threonine"
"410"	"H200007344"	"NM_002910"	"RENBP"	"RENBP : renin binding protein"
"411"	"H200006584"	"NM_000251"	"MSH2"	"MSH2 : mutS homolog 2"
"413"	"H200006608"	"NM_005968"	"HNRPM"	"HNRPM : heterogeneous nuclear ribonucleoprotein M"
