"probe_id","Refseq_id","Symbol"
"ILMN_1725881","XM_933824.1","LOC23117"
"ILMN_1804174","XM_938851.1","FCGR2B"
"ILMN_1796063","NM_017583.3","TRIM44"
"ILMN_1811966","XM_936379.1","LOC653895"
"ILMN_1668162","NM_001013579.1","DGAT2L3"
"ILMN_1715600","XM_373469.3","LOC387701"
"ILMN_1793729","NM_015492.4","C15orf39"
"ILMN_2296644","NM_018921.2","PCDHGA9"
"ILMN_1711283","NM_018921.2","PCDHGA9"
"ILMN_1682799","NM_020799.2","STAMBPL1"
"ILMN_1665311","NM_001007532.1","STH"
"ILMN_1657235","XM_292820.6","LOC342979"
"ILMN_1655444","XM_001130874.1","LOC728492"
"ILMN_1679194","XM_001128725.1","UGT2B7"
"ILMN_1755897","XM_001128725.1","UGT2B7"
"ILMN_1711453","NM_201625.1","CLEC12A"
"ILMN_1656744","XM_937104.1","LOC648054"
"ILMN_2121316","NM_152281.1","SCYL1BP1"
"ILMN_1761911","NM_152281.1","SCYL1BP1"
"ILMN_1807467","XM_932949.2","RGNEF"
"ILMN_1652609","XM_932949.2","RGNEF"
"ILMN_1720944","XM_927776.1","LOC643426"
"ILMN_2385662","NM_001006945.1","C1orf103"
"ILMN_2313434","NM_030752.2","TCP1"
"ILMN_1704173","NM_001018060.1","AIFM3"
"ILMN_1769158","NM_024710.1","ISOC2"
"ILMN_1660232","NM_000319.3","PEX5"
"ILMN_1763663","NM_017939.1","FLJ20718"
"ILMN_1727459","NM_004153.2","ORC1L"
"ILMN_1814429","XM_371829.3","LOC389405"
"ILMN_1797082","NM_015132.3","SNX13"
"ILMN_1693210","NM_173685.1","NSMCE2"
"ILMN_1775074","NM_006659.2","TUBGCP2"
"ILMN_1779257","NM_001250.4","CD40"
"ILMN_1684523","XM_937697.1","LOC648628"
"ILMN_2309245","NM_139343.1","BIN1"
"ILMN_1809344","NM_032320.5","BTBD10"
"ILMN_1762281","NM_007234.3","DCTN3"
"ILMN_1734742","NM_004309.3","ARHGDIA"
"ILMN_2162234","NM_012224.1","NEK1"
"ILMN_1655684","NM_017827.2","SARS2"
"ILMN_1735832","XM_941991.1","LOC650339"
"ILMN_1754567","XM_001133757.1","LRRC48"
"ILMN_1686807","XM_943534.1","LOC648993"
"ILMN_1671123","XM_943178.1","LOC647543"
"ILMN_1766125","NM_004793.2","LONP1"
"ILMN_1654249","XM_930094.1","LOC647083"
"ILMN_1685369","NM_006425.4","SLU7"
"ILMN_1653709","NM_012460.2","TIMM9"
"ILMN_2126957","NM_014287.3","NOMO1"
"ILMN_1678730","NM_014287.3","NOMO1"
"ILMN_1702114","NM_014287.3","NOMO1"
"ILMN_1801608","NM_002249.4","KCNN3"
"ILMN_1744897","NM_002249.4","KCNN3"
"ILMN_1688702","NM_014819.3","PJA2"
"ILMN_1807393","XM_934125.1","PLGLA1"
"ILMN_1670130","NM_005224.2","ARID3A"
"ILMN_1765971","NM_058165.2","MOGAT1"
"ILMN_1659166","NM_182767.3","SLC6A15"
"ILMN_1810533","NM_182767.3","SLC6A15"
"ILMN_1713086","NM_000990.2","RPL27A"
"ILMN_2205695","NM_145048.2","C4orf28"
"ILMN_1739335","XM_940643.1","LOC400948"
"ILMN_1803834","XM_934289.1","LOC653352"
"ILMN_2396639","NM_005451.3","PDLIM7"
"ILMN_1814985","NM_005451.3","PDLIM7"
"ILMN_1680462","XM_001129442.1","CST6"
"ILMN_1697733","XM_001129442.1","CST6"
"ILMN_1658713","NM_033012.2","TNFSF11"
"ILMN_2055638","NM_181599.2","KRTAP13-1"
"ILMN_1662791","NM_024688.1","C10orf68"
"ILMN_2275455","NM_183043.1","RNF6"
"ILMN_1814002","NM_003214.3","TEAD3"
"ILMN_1702698","NM_173491.2","LSM11"
"ILMN_1708151","NM_006014.3","LAGE3"
"ILMN_1765085","NM_015939.3","TRMT6"
"ILMN_1793463","XM_936850.1","LOC647785"
"ILMN_2321064","NM_138765.2","BAX"
"ILMN_1663616","NM_003315.1","DNAJC7"
"ILMN_1752791","XM_943884.1","PARP8"
"ILMN_2289849","NM_021642.2","FCGR2A"
"ILMN_1665246","NM_173568.3","UMODL1"
"ILMN_1757172","XM_942813.1","LOC647456"
"ILMN_1813027","NM_033549.3","TRIM41"
"ILMN_1704019","NM_024623.1","OGFOD2"
"ILMN_1673969","NR_002815.1","LOC374491"
"ILMN_2183424","NR_002815.1","LOC374491"
"ILMN_2400947","NM_006561.2","CUGBP2"
"ILMN_1788605","XR_017466.1","LOC644623"
"ILMN_1735484","XR_017466.1","LOC644623"
"ILMN_1681755","XR_017466.1","LOC644623"
"ILMN_1759879","XR_017466.1","LOC644623"
"ILMN_1708110","NM_018342.3","TMEM144"
"ILMN_1815649","NM_153216.1","POU5F2"
"ILMN_1736555","NM_001002844.1","ZNF280D"
"ILMN_1651584","XM_932852.1","LOC643576"
"ILMN_1802808","XM_939368.1","LOC654103"
